Keywords,Tags,Search regions,Volume,2026-02-27,2025-08-15,2025-08-01,2025-07-26,2025-07-15,2025-07-01,2025-06-26,2025-06-15,2025-06-01,2025-05-26,2025-05-15,2025-05-01,2025-04-26,2025-04-15,2025-04-01,2025-03-26,2025-03-15,2025-03-01,2025-02-26,2025-02-15,2025-02-01,2025-01-26,2025-01-15,2025-01-01,2024-12-26,2024-12-15,2024-12-01,2024-11-26,2024-11-15,2024-11-08,2024-11-01,2024-10-26,2024-10-21,2024-08-01,2024-07-26,2024-07-15,2024-07-08,2024-07-01,2024-06-26,2024-06-15,2024-06-04,2024-06-01,2024-05-26,2024-05-23,2024-05-15,2024-05-01,2024-04-26,2024-04-15,2024-04-09,2024-04-01,2024-03-26,2024-03-15,2024-03-14,2024-03-07,2024-03-01,2024-02-01,2024-01-23,2024-01-16,2024-01-12,2024-01-11,2024-01-10,2024-01-02,2024-01-01,URL in SERP,Expected URL
100k clean room,cleanroom,"google organic [desktop], United States (USA), (English)",30,59,8,7,7,8,9,19,12,16,16,19,19,16,14,11,9,15,14,16,15,14,14,15,14,14,15,14,15,14,15,14,13,13,11,11,11,11,9,11,11,n/a,12,12,n/a,13,14,13,18,22,19,18,21,n/a,n/a,17,17,n/a,n/a,n/a,n/a,n/a,16,16,https://www.terrauniversal.com/blog/what-is-a-clean-room-ISO-14644-1,
10k clean room,cleanroom,"google organic [desktop], United States (USA), (English)",40,22,7,7,6,6,8,7,7,7,7,7,11,9,7,8,8,9,8,7,6,8,9,9,10,10,10,11,12,12,14,12,12,11,18,18,15,18,17,16,17,n/a,14,17,n/a,13,13,13,14,11,14,13,16,n/a,n/a,12,13,n/a,n/a,n/a,n/a,n/a,15,15,https://www.terrauniversal.com/blog/what-is-a-clean-room-ISO-14644-1,
24 x 48 hepa filter,ffu-filters-blowers,"google organic [desktop], United States (USA), (English)",70,11,8,8,8,8,9,9,8,10,10,15,12,9,17,15,18,18,20,23,17,17,14,25,17,17,18,21,22,18,17,16,20,15,9,5,7,8,10,9,8,n/a,10,11,n/a,8,12,9,8,8,7,7,8,n/a,n/a,5,6,n/a,n/a,n/a,n/a,n/a,5,6,https://www.terrauniversal.com/mod-cleanroom-freeflow-3800-50.html,
24x48 hepa filter,ffu-filters-blowers,"google organic [desktop], United States (USA), (English)",70,27,7,7,6,24,27,23,25,23,26,26,25,24,23,25,27,30,27,28,24,26,26,32,25,17,30,32,30,37,26,29,28,29,15,-,15,55,14,12,13,n/a,13,13,n/a,9,16,21,12,13,10,15,12,n/a,n/a,13,14,n/a,n/a,n/a,n/a,n/a,19,18,https://www.terrauniversal.com/mod-cleanroom-freeflow-3800-50.html,
24x48 hepa filter laminar flow,ffu-filters-blowers,"google organic [desktop], United States (USA), (English)",10,9,2,4,24,3,20,20,19,4,22,22,22,23,24,25,-,24,23,23,25,24,26,27,19,21,35,31,30,33,32,33,32,23,36,-,-,40,43,44,-,n/a,39,35,n/a,35,30,30,30,30,30,29,31,n/a,n/a,11,34,n/a,n/a,n/a,n/a,n/a,8,8,https://www.terrauniversal.com/mod-cleanroom-freeflow-3800-50.html,
304 clean room table,tables,"google organic [desktop], United States (USA), (English)",0,2,2,1,2,2,2,2,2,2,3,2,3,2,3,3,3,2,2,2,4,4,4,4,4,4,4,6,6,6,5,4,5,4,4,4,6,3,3,4,4,n/a,2,5,n/a,7,4,6,4,5,4,4,5,n/a,n/a,5,6,n/a,n/a,n/a,n/a,n/a,6,6,https://www.terrauniversal.com/table-cleanroom-304-stainless-steel-solid-top-h-frame-intermetro-1305-14.html,
304 cleanroom table,tables,"google organic [desktop], United States (USA), (English)",0,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,3,3,4,5,5,3,4,6,5,4,3,5,n/a,4,5,n/a,4,6,6,5,5,5,6,6,n/a,n/a,5,6,n/a,n/a,n/a,n/a,n/a,4,9,https://www.terrauniversal.com/table-cleanroom-304-stainless-steel-solid-top-h-frame-intermetro-1305-14.html,
304 ss clean room table,tables,"google organic [desktop], United States (USA), (English)",0,3,2,1,1,1,2,2,2,2,2,2,3,3,4,3,3,4,3,4,4,4,4,4,4,5,6,5,5,7,4,6,6,5,4,5,5,4,3,3,4,n/a,4,4,n/a,4,5,6,6,4,4,6,4,n/a,n/a,3,4,n/a,n/a,n/a,n/a,n/a,3,4,https://www.terrauniversal.com/table-cleanroom-304-stainless-steel-solid-top-h-frame-intermetro-1305-14.html,
304 ss clean room tables,tables,"google organic [desktop], United States (USA), (English)",0,3,2,1,2,2,2,2,2,2,3,3,3,3,4,5,4,4,4,4,4,4,4,4,4,5,6,5,6,7,6,5,6,6,4,4,5,4,3,3,4,n/a,4,4,n/a,5,6,6,6,4,4,5,4,n/a,n/a,2,4,n/a,n/a,n/a,n/a,n/a,5,4,https://www.terrauniversal.com/table-cleanroom-304-stainless-steel-solid-top-h-frame-intermetro-1305-14.html,
304 ss cleanroom tables,tables,"google organic [desktop], United States (USA), (English)",0,3,2,2,2,2,2,3,3,3,2,3,3,3,4,4,4,4,3,4,4,5,4,4,4,5,6,4,5,5,6,6,4,6,7,8,7,7,3,3,7,n/a,7,7,n/a,4,7,7,6,4,4,5,5,n/a,n/a,3,4,n/a,n/a,n/a,n/a,n/a,5,6,https://www.terrauniversal.com/table-304-stainless-steel-solid-top-eagle-1373-16.html,
